Row.names,summaryGroups,summaryGroupsExtended,CONSENSUS_CRG,CONSENSUS2_CRG,PR2_L1,PR2_L2,PR2_L3,PR2_L4,PR2_L5,PR2_L6,PR2_L7,PR2_L8,perc_id_PR2,al_length_PR2,summary_type,summaryGroups_metazoan
ASV_22514,Apicomplexa,Apicomplexa,Apicomplexa,Alveolata,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Paralecudinids,Paralecudina,Paralecudina_sp,97.74,354,heterotroph - saprotroph - parasite ,
ASV_22602,fungi,fungi,Apusomonadida,Obazoa,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Amastigomonas,Amastigomonas_sp,98.333,60,heterotroph - saprotroph - parasite ,
ASV_3407,fungi,fungi,Apusomonadida,Obazoa,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Apusomonadidae_Group-1_XXX,Apusomonadidae_Group-1_XXX_sp,100,382,heterotroph - saprotroph - parasite ,
ASV_22445,Centrohelida,Centrohelida,Centrohelida,Haptista,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Pterocystida,Pterocystida_X,Pterocystida_XX,Pterocystida_XX_sp,95.319,235,heterotroph - saprotroph - parasite ,
ASV_4496,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Cercozoa_X,Cercozoa_XX,Cercozoa_XXX,Cercozoa_XXXX,Cercozoa_XXXX_sp,92.64,394,heterotroph - saprotroph - parasite ,
ASV_6026,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Cercozoa_X,Cercozoa_XX,Cercozoa_XXX,Cercozoa_XXXX,Cercozoa_XXXX_sp,95.141,391,heterotroph - saprotroph - parasite ,
ASV_22776,green,green,Chlorarachniophyta,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae_X,NPK2-lineage,NPK2-lineage_X,NPK2-lineage_X_sp,94.087,389,phototroph,
ASV_13781,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Vampyrellida_X,Thalassomyxa,Thalassomyxa_sp,98.454,388,heterotroph - saprotroph - parasite ,
ASV_21825,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,op14-lineage,op14-lineage_X,op14-lineage_X_sp,80.631,222,heterotroph - saprotroph - parasite ,
ASV_22505,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Sey055-lineage,Sey055-lineage_X,Sey055-lineage_X_sp,84.694,392,heterotroph - saprotroph - parasite ,
ASV_9145,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Cryptofilida,Nanofilidae,Nanofila,Nanofila_sp,94.859,389,heterotroph - saprotroph - parasite ,
ASV_16949,Cercozoa,Cercozoa,Cercozoa,Rhizaria,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp,95.756,377,heterotroph - saprotroph - parasite ,
